/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine — Batch Optimizer
  Batches      : 10
  Trials/batch : 1000  (total: 10000)
  Startup/batch: 80
  Seeds        : [17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3

Loading worlds...
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=27.9498  mean=27.2992  std=2.1689
  Top components: nuclear_convergence=6.128  pu_gate=5.600  au_priority=4.000  serial_horizon=4.000  pop_ratio=2.000  colonial_extraction=1.740  civ_gap=0.898  lattice_latitude=0.740

Batch   Trial     Total      Mean      Std     GBest
    1     108   21.8795   21.0028   2.9224   21.5701
    1     109   22.2040   21.3840   2.7334   21.5701
    1     110   21.7488   20.8546   2.9808   21.5701
    1     111   23.2226   22.3189   3.0122   21.5701
    1     112   22.0573   21.2035   2.8462   21.5701
    1     113   23.4310   22.7594   2.2387   21.5701
    1     114   22.4836   21.7150   2.5619   21.5701
    1     115   24.1935   23.5998   1.9789   21.5701
    1     116   24.4037   23.6925   2.3707   21.5701
    1     117   23.4282   22.7629   2.2178   21.5701
    1     118   21.8573   20.9851   2.9075   21.5701
    1     119   21.9939   21.1415   2.8414   21.5701
    1     120   21.7798   20.8835   2.9877   21.5701
    1     121   25.8203   25.3279   1.6414   21.5701
    1     122   25.0444   24.4893   1.8504   21.5701
    1     123   21.9172   21.0487   2.8952   21.5701
    1     124   22.8444   21.8644   3.2668   21.5701
    1     125   22.4540   21.6472   2.6893   21.5701
    1     126   22.1050   21.2629   2.8068   21.5701
    1     127   23.4634   22.6467   2.7223   21.5701
    1     128   23.2425   22.5606   2.2730   21.5701
    1     129   26.8913   26.0632   2.7602   21.5701
    1     130   24.4253   23.7753   2.1667   21.5701
    1     131   22.8905   22.1372   2.5110   21.5701
    1     132   21.5697   20.6438   3.0860   21.5697 **
    1     133   21.5560   20.6311   3.0828   21.5560 **
    1     134   21.7564   20.8582   2.9938   21.5560
    1     135   23.4864   22.6552   2.7704   21.5560
    1     136   22.3650   21.5398   2.7507   21.5560
    1     137   21.9636   21.0933   2.9010   21.5560
    1     138   21.8078   20.9230   2.9494   21.5560
    1     139   21.5240   20.5895   3.1149   21.5240 **
    1     140   21.7805   20.8840   2.9884   21.5240
    1     141   22.1123   21.2646   2.8256   21.5240
    1     142   22.8701   21.8955   3.2486   21.5240
    1     143   22.1508   21.3070   2.8129   21.5240
    1     144   22.7927   21.8226   3.2336   21.5240
    1     145   21.6483   20.7353   3.0433   21.5240
    1     146   22.8086   21.8388   3.2325   21.5240
    1     147   21.5419   20.6155   3.0880   21.5240
    1     148   23.8821   23.1817   2.3346   21.5240
    1     149   22.2284   21.3880   2.8014   21.5240
    1     150   21.8826   21.0149   2.8922   21.5240
    1     151   22.8921   22.1183   2.5794   21.5240
    1     152   23.5549   22.7285   2.7548   21.5240
    1     153   22.8567   21.8796   3.2570   21.5240
    1     154   21.8052   20.9125   2.9756   21.5240
    1     155   23.8447   23.0582   2.6216   21.5240
    1     156   22.0301   21.1826   2.8250   21.5240
    1     157   21.8592   20.9701   2.9638   21.5240
    1     158   21.6667   20.7596   3.0238   21.5240
    1     159   27.3230   26.3540   3.2300   21.5240
    1     160   27.6664   26.7444   3.0735   21.5240
    1     161   22.1639   21.3215   2.8079   21.5240
