/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine Optimizer (Optuna TPE)
  Trials       : 500
  Seeds        : [17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3
  Results dir  : /Users/terrace/Labs/Aeolia/aeolia-godot/optimization/results

Loading worlds...
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=27.9498  mean=27.2992  std=2.1689
  Components: lattice_density=0.016  reach_spread=0.395  lattice_latitude=0.740  reach_latitude=0.683  lattice_shelf=0.064  civ_gap=0.898  peak_asymmetry=0.000  edge_topology=0.027  climate_crop=0.337  yield_asymmetry=0.001  industrial_convergence=0.000  nav_weapons_coupling=0.000  security_dilemma=0.000  nuclear_emergence=0.000  pu_gate=5.600  supply_chain=0.000  cu_tech_lead=0.000  au_priority=4.000  serial_horizon=4.000  maritime_asymmetry=0.372  colonial_extraction=1.740  nuclear_convergence=6.128  df_timing=0.196  sov_ordering=0.007  sov_recovery=0.000  pop_ratio=2.000  pop_inequality=0.014  epi_correlation=0.081

Trial     Total      Mean      Std      Best
  107   26.0827   25.6501   1.4421   25.6460
  108   26.0587   25.5718   1.6231   25.6460
  109   26.6131   26.0251   1.9600   25.6460
  110   26.0788   25.6163   1.5417   25.6460
  111   26.6970   26.2776   1.3980   25.6460
  112   27.7040   27.0368   2.2242   25.6460
  113   30.5549   30.0690   1.6198   25.6460
  114   26.2881   25.9090   1.2638   25.6460
  115   26.0379   25.5755   1.5415   25.6460
  116   26.3100   25.7969   1.7104   25.6460
  117   30.4605   29.9781   1.6080   25.6460
  118   25.5480   25.2443   1.0123   25.5480 *
  119   32.2811   31.6242   2.1896   25.5480
  120   27.5801   27.4206   0.5316   25.5480
  121   26.6186   26.2330   1.2856   25.5480
  122   26.8164   26.3396   1.5893   25.5480
  123   25.8934   25.4041   1.6311   25.5480
  124   25.0508   24.7054   1.1514   25.0508 *
  125   26.5274   26.1982   1.0973   25.0508
  126   31.0076   30.3738   2.1125   25.0508
  127   26.4882   26.0360   1.5073   25.0508
  128   25.4794   25.1644   1.0501   25.0508
  129   26.2783   25.8628   1.3848   25.0508
  130   28.0013   27.3731   2.0939   25.0508
  131   25.1914   24.8290   1.2080   25.0508
  132   25.3551   25.0198   1.1176   25.0508
  133   26.9323   26.2743   2.1933   25.0508
  134   25.3569   25.0217   1.1175   25.0508
  135   25.4804   25.2430   0.7914   25.0508
  136   27.2136   26.7358   1.5925   25.0508
  137   26.6117   25.9668   2.1496   25.0508
  138   25.8882   25.6523   0.7864   25.0508
  139   26.8657   26.1857   2.2666   25.0508
  140   25.2592   24.9081   1.1702   25.0508
  141   29.6700   29.3008   1.2307   25.0508
  142   25.3573   25.0221   1.1173   25.0508
  143   26.6954   26.0749   2.0684   25.0508
  144   31.1234   30.4814   2.1402   25.0508
  145   25.1581   24.8411   1.0568   25.0508
  146   27.8569   27.1998   2.1902   25.0508
  147   27.0774   26.5599   1.7252   25.0508
  148   31.1271   30.4848   2.1409   25.0508
  149   24.9153   24.5146   1.3357   24.9153 *
  150   25.0886   24.6974   1.3042   24.9153
  151   25.2855   24.8658   1.3990   24.9153
  152   27.7474   27.0684   2.2634   24.9153
  153   27.2364   26.7659   1.5681   24.9153
  154   25.8265   25.3444   1.6068   24.9153
  155   29.8555   29.5091   1.1545   24.9153
  156   26.7602   26.1583   2.0061   24.9153
  157   25.1924   24.8300   1.2081   24.9153
  158   31.1443   30.5002   2.1469   24.9153
  159   25.6101   25.3450   0.8839   24.9153
  160   27.9577   27.6394   1.0609   24.9153
  161   24.7655   24.2919   1.5785   24.7655 *
  162   26.5903   26.2507   1.1320   24.7655
  163   24.8512   24.4463   1.3499   24.7655
  164   25.6050   25.3350   0.9001   24.7655
  165   24.4404   23.9148   1.7520   24.4404 *
  166   24.8252   24.3886   1.4551   24.4404
  167   24.7444   24.3054   1.4631   24.4404
  168   24.7508   24.3161   1.4492   24.4404
  169   25.0442   24.6956   1.1622   24.4404
  170   25.2055   24.9150   0.9684   24.4404
  171   24.3932   23.8476   1.8186   24.3932 *
  172   25.8798   25.3748   1.6831   24.3932
  173   24.6645   24.1866   1.5929   24.3932
  174   26.9497   26.4007   1.8298   24.3932
  175   25.1473   24.8151   1.1073   24.3932
  176   26.8777   26.3512   1.7550   24.3932
  177   32.2660   31.6039   2.2071   24.3932
