/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine Optimizer (Optuna TPE)
  Trials       : 10000
  Seeds        : [216089, 51, 73, 74, 11, 66, 17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3
  Results dir  : /Users/terrace/Labs/Aeolia/aeolia-godot/optimization/results

Loading worlds...
  seed=216089 [candidate]: 42 archs, 144 edges
  seed=51 [candidate]: 42 archs, 143 edges
  seed=73 [candidate]: 42 archs, 148 edges
  seed=74 [candidate]: 42 archs, 140 edges
  seed=11 [candidate]: 42 archs, 146 edges
  seed=66 [candidate]: 42 archs, 142 edges
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=35.5117  mean=32.8878  std=8.7463
  Components: lattice_density=0.022  reach_spread=0.181  lattice_latitude=0.339  reach_latitude=1.089  lattice_shelf=0.090  civ_gap=0.408  peak_asymmetry=0.000  edge_topology=0.135  climate_crop=0.327  yield_asymmetry=0.007  industrial_convergence=0.000  nav_weapons_coupling=0.000  security_dilemma=0.000  nuclear_emergence=0.000  pu_dependency=1.159  pu_convergence=10.727  supply_chain=0.000  cu_tech_lead=0.036  au_priority=2.727  serial_horizon=4.000  maritime_asymmetry=0.335  colonial_extraction=1.667  nuclear_convergence=7.360  df_timing=0.213  sov_ordering=0.008  sov_recovery=0.000  pop_ratio=2.000  pop_inequality=0.020  epi_correlation=0.038

Trial     Total      Mean      Std      Best
  100   27.7577   26.0659   5.6394   22.5332
  101   23.6088   21.8999   5.6963   22.5332
  102   24.5262   22.9246   5.3387   22.5332
  103   23.5237   21.8334   5.6345   22.5332
  104   24.7153   23.2141   5.0041   22.5332
  105   24.6833   23.2005   4.9426   22.5332
  106   23.7249   22.3448   4.6002   22.5332
  107   26.3753   24.7351   5.4673   22.5332
  108   25.2055   24.5351   2.2349   22.5332
  109   23.8482   22.5793   4.2298   22.5332
  110   25.7595   24.2045   5.1833   22.5332
  111   26.4011   24.8491   5.1731   22.5332
  112   25.4995   24.0576   4.8064   22.5332
  113   25.0046   24.4687   1.7864   22.5332
  114   28.9066   28.0575   2.8305   22.5332
  115   28.7949   26.7863   6.6953   22.5332
  116   26.4978   24.8296   5.5606   22.5332
  117   25.0215   23.6847   4.4559   22.5332
  118   26.4592   25.2977   3.8719   22.5332
  119   26.5918   25.0876   5.0139   22.5332
  120   23.9796   22.3228   5.5228   22.5332
  121   23.9758   22.5055   4.9011   22.5332
  122   23.5487   21.8676   5.6039   22.5332
  123   24.6363   23.6639   3.2410   22.5332
  124   26.4568   24.7998   5.5233   22.5332
  125   24.3120   22.7078   5.3474   22.5332
  126   24.5713   23.7973   2.5799   22.5332
  127   26.2250   24.5940   5.4364   22.5332
  128   26.2720   24.5544   5.7256   22.5332
  129   25.0811   23.1784   6.3422   22.5332
  130   26.3881   24.8389   5.1639   22.5332
  131   24.5870   24.1705   1.3883   22.5332
  132   23.2264   21.9218   4.3487   22.5332
  133   24.1237   22.7278   4.6528   22.5332
  134   24.3643   23.0047   4.5320   22.5332
  135   23.9250   22.2604   5.5486   22.5332
  136   25.0214   23.6845   4.4566   22.5332
  137   23.6759   22.1615   5.0478   22.5332
  138   27.6032   26.3454   4.1927   22.5332
  139   27.1337   25.2805   6.1772   22.5332
  140   26.0354   24.1406   6.3159   22.5332
  141   24.3820   23.0188   4.5438   22.5332
  142   23.6797   22.1094   5.2341   22.5332
  143   28.0441   25.9893   6.8495   22.5332
  144   25.8190   24.3826   4.7880   22.5332
  145   25.5890   24.1851   4.6796   22.5332
  146   23.1615   21.6481   5.0446   22.5332
  147   24.3658   22.9329   4.7763   22.5332
  148   25.7290   24.1145   5.3817   22.5332
  149   23.6852   22.1768   5.0278   22.5332
  150   25.5740   23.8945   5.5985   22.5332
  151   24.8365   23.1471   5.6312   22.5332
  152   23.6140   22.2105   4.6784   22.5332
  153   23.1799   21.7478   4.7738   22.5332
  154   25.2117   23.8004   4.7046   22.5332
  155   22.7316   21.2099   5.0725   22.5332
  156   24.1788   22.8065   4.5742   22.5332
  157   24.0199   22.4607   5.1972   22.5332
  158   26.0674   24.5432   5.0807   22.5332
  159   25.5889   24.0529   5.1202   22.5332
  160   24.7077   23.2221   4.9519   22.5332
  161   24.4215   22.9822   4.7977   22.5332
  162   23.8939   22.6017   4.3073   22.5332
  163   26.0739   25.0443   3.4319   22.5332
  164   22.7524   21.1751   5.2575   22.5332
  165   24.7331   23.2787   4.8480   22.5332
  166   25.3640   23.7046   5.5312   22.5332
  167   24.3509   22.8956   4.8508   22.5332
  168   22.7964   21.2726   5.0792   22.5332
  169   24.0695   22.9335   3.7869   22.5332
  170   27.4882   25.7579   5.7675   22.5332
  171   25.3056   23.9455   4.5337   22.5332
  172   23.2961   21.7447   5.1713   22.5332
  173   24.3599   23.0007   4.5306   22.5332
  174   23.2810   21.6883   5.3090   22.5332
  175   24.8091   23.5127   4.3211   22.5332
  176   23.8314   22.1761   5.5175   22.5332
  177   25.0113   23.6760   4.4508   22.5332
  178   23.7116   22.3282   4.6116   22.5332
  179   23.8595   22.5040   4.5180   22.5332
  180   24.1131   22.6660   4.8238   22.5332
  181   23.8349   22.3332   5.0059   22.5332
  182   24.5017   23.2230   4.2624   22.5332
  183   24.1168   22.6169   4.9997   22.5332
  184   23.0048   21.3983   5.3550   22.5332
  185   24.6006   23.2256   4.5834   22.5332
  186   26.0777   24.6395   4.7939   22.5332
  187   25.0342   23.5352   4.9966   22.5332
  188   23.8395   22.3342   5.0178   22.5332
  189   23.2120   21.6156   5.3212   22.5332
  190   24.6374   22.9100   5.7579   22.5332
  191   24.4396   22.6902   5.8313   22.5332
  192   26.4290   24.3972   6.7724   22.5332
  193   25.9359   25.0709   2.8833   22.5332
  194   26.7010   25.0237   5.5908   22.5332
  195   26.0349   24.6070   4.7598   22.5332
  196   23.7501   22.4193   4.4361   22.5332
  197   22.6364   21.0764   5.1999   22.5332
  198   23.8222   23.1928   2.0983   22.5332
  199   26.0335   24.6241   4.6981   22.5332
  200   28.8486   26.8277   6.7365   22.5332
  201   25.5457   23.9387   5.3566   22.5332
  202   24.5840   23.2872   4.3227   22.5332
  203   23.1305   21.6187   5.0393   22.5332
  204   25.8968   24.5056   4.6374   22.5332
  205   26.7521   25.1275   5.4153   22.5332
  206   26.9077   25.2032   5.6816   22.5332
  207   22.4732   21.0864   4.6227   22.4732 *
  208   24.4657   22.7240   5.8059   22.4732
  209   23.8214   22.3565   4.8829   22.4732
  210   23.5778   22.0060   5.2394   22.4732
  211   25.2336   23.7518   4.9393   22.4732
  212   24.8884   23.5251   4.5442   22.4732
